               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040197,            0.015337,            0.016129,             0.74692,             0.71126,               0.741,             0.36482,            0.044449,           0.0073416,               0.015,            0.009307,            0.009307,            0.009307
                  37,            0.040631,            0.015544,            0.016991,             0.71161,             0.68456,             0.71222,              0.3258,            0.042831,           0.0076981,            0.013688,           0.0092872,           0.0092872,           0.0092872
                  38,            0.038125,            0.015073,            0.014427,             0.72643,             0.65485,             0.69981,             0.31217,            0.044507,             0.00763,            0.015011,           0.0092674,           0.0092674,           0.0092674
                  39,            0.041655,            0.015719,            0.016612,             0.73599,             0.63257,             0.67931,             0.29985,            0.045351,           0.0075082,            0.012455,           0.0092476,           0.0092476,           0.0092476
                  40,            0.039439,            0.015548,            0.016202,             0.60617,             0.53945,             0.54918,             0.22463,            0.046866,           0.0081415,            0.020829,           0.0092278,           0.0092278,           0.0092278
                  41,            0.039061,            0.015738,             0.01626,             0.71772,             0.70038,             0.71763,             0.34419,            0.042087,           0.0075167,            0.011898,            0.009208,            0.009208,            0.009208
                  42,            0.038401,            0.015075,            0.015224,             0.71049,             0.69071,             0.72731,             0.34621,            0.040988,           0.0078463,            0.014222,           0.0091882,           0.0091882,           0.0091882
                  43,             0.03748,            0.014822,            0.014927,             0.76724,             0.69568,              0.7497,             0.36425,            0.043117,           0.0072609,            0.010899,           0.0091684,           0.0091684,           0.0091684
                  44,            0.038874,            0.015377,            0.014719,             0.69113,             0.61576,             0.66415,              0.3002,            0.043041,           0.0077629,            0.015423,           0.0091486,           0.0091486,           0.0091486
                  45,            0.038061,            0.015661,            0.016072,              0.7512,             0.70105,             0.72924,             0.34626,              0.0411,           0.0074066,             0.01022,           0.0091288,           0.0091288,           0.0091288
                  46,            0.036749,            0.014847,            0.017037,             0.76187,             0.70408,             0.74691,             0.36604,            0.040414,            0.007334,            0.011683,            0.009109,            0.009109,            0.009109
                  47,            0.037422,             0.01501,            0.015718,             0.75896,             0.70725,             0.74938,             0.37281,            0.041773,             0.00699,            0.013631,           0.0090892,           0.0090892,           0.0090892
                  48,            0.038607,            0.015447,            0.016226,             0.73365,             0.65046,             0.71525,             0.32349,             0.04313,           0.0075176,            0.014335,           0.0090694,           0.0090694,           0.0090694
                  49,            0.037157,            0.015198,            0.015623,             0.75817,             0.72085,             0.75923,              0.3866,            0.042664,           0.0074689,            0.011902,           0.0090496,           0.0090496,           0.0090496
                  50,            0.037973,            0.014823,            0.015012,             0.76365,             0.72571,             0.75784,             0.36388,            0.043518,           0.0070823,            0.011009,           0.0090298,           0.0090298,           0.0090298
                  51,            0.038831,            0.015165,            0.014335,             0.79656,             0.70485,             0.77236,             0.41573,            0.038758,           0.0072758,            0.013175,             0.00901,             0.00901,             0.00901
                  52,            0.038453,            0.015198,            0.013798,             0.80634,             0.69689,              0.7779,             0.40282,            0.039035,           0.0074268,            0.013938,           0.0089902,           0.0089902,           0.0089902
                  53,            0.037852,            0.014564,            0.014603,             0.74857,             0.68078,             0.73654,             0.35245,             0.04113,           0.0073717,            0.012287,           0.0089704,           0.0089704,           0.0089704
                  54,            0.036309,            0.014677,            0.013674,             0.78796,             0.70447,             0.77546,             0.37266,            0.040848,           0.0072984,           0.0097505,           0.0089506,           0.0089506,           0.0089506
                  55,            0.036476,            0.014575,            0.014939,             0.75044,             0.70583,             0.75283,             0.34678,            0.042946,           0.0073474,            0.012961,           0.0089308,           0.0089308,           0.0089308
                  56,            0.036197,            0.014983,             0.01383,             0.80766,             0.73139,             0.78075,             0.39758,            0.041203,           0.0071301,            0.010787,            0.008911,            0.008911,            0.008911
                  57,             0.03801,             0.01462,            0.016159,              0.7842,              0.7187,             0.76508,             0.39747,            0.039122,           0.0073781,             0.01292,           0.0088912,           0.0088912,           0.0088912
                  58,            0.038423,            0.015049,            0.015412,             0.77723,             0.71893,             0.76598,             0.39648,            0.039496,           0.0071941,            0.011793,           0.0088714,           0.0088714,           0.0088714
                  59,            0.037476,            0.014918,            0.015049,             0.72293,              0.7099,             0.74978,             0.36871,            0.040264,           0.0074544,            0.012799,           0.0088516,           0.0088516,           0.0088516
                  60,            0.036362,            0.014343,            0.013541,              0.7962,             0.68962,             0.77372,             0.37099,            0.041866,           0.0073417,            0.011524,           0.0088318,           0.0088318,           0.0088318
                  61,            0.037117,            0.014505,            0.014372,             0.76734,             0.72499,             0.78169,              0.4101,            0.039388,           0.0072512,            0.012599,            0.008812,            0.008812,            0.008812
                  62,            0.036134,            0.014768,            0.012576,             0.78149,             0.75948,             0.78799,             0.39272,            0.039046,           0.0069484,           0.0086607,           0.0087922,           0.0087922,           0.0087922
                  63,            0.035734,            0.014426,            0.014282,             0.77263,             0.73549,             0.78322,             0.38854,            0.041196,           0.0072037,            0.011577,           0.0087724,           0.0087724,           0.0087724
                  64,            0.036056,            0.014218,            0.015002,             0.77633,             0.72547,             0.77235,             0.39455,            0.041665,           0.0074235,              0.0129,           0.0087526,           0.0087526,           0.0087526
                  65,            0.036985,             0.01524,            0.014456,             0.75551,             0.74924,              0.7726,             0.38493,            0.039098,           0.0073903,            0.012228,           0.0087328,           0.0087328,           0.0087328
                  66,            0.035881,            0.014554,            0.013455,             0.76347,             0.74785,             0.77558,             0.41067,            0.039967,           0.0071058,            0.010588,            0.008713,            0.008713,            0.008713
                  67,            0.035218,            0.014229,            0.013342,             0.77825,             0.73778,             0.76447,             0.39681,            0.039306,           0.0073211,            0.011013,           0.0086932,           0.0086932,           0.0086932
                  68,             0.03733,            0.014452,            0.014133,               0.792,               0.723,             0.78324,              0.3743,            0.041922,           0.0072063,            0.011775,           0.0086734,           0.0086734,           0.0086734
                  69,            0.037252,            0.014643,            0.014035,             0.79098,             0.75427,             0.78802,             0.38636,            0.041323,           0.0071218,            0.010116,           0.0086536,           0.0086536,           0.0086536
                  70,            0.035808,            0.014164,            0.012741,              0.7856,             0.74956,              0.7923,             0.39368,            0.038855,           0.0069886,           0.0087141,           0.0086338,           0.0086338,           0.0086338
                  71,            0.036608,            0.014249,            0.014168,             0.76232,             0.71512,             0.76502,             0.38327,            0.040147,           0.0071884,            0.010698,            0.008614,            0.008614,            0.008614
                  72,            0.034905,            0.014632,            0.013131,             0.78979,             0.71473,             0.76428,             0.36814,             0.04151,           0.0071991,            0.011838,           0.0085942,           0.0085942,           0.0085942
                  73,            0.037983,            0.014389,            0.013915,             0.76665,             0.72314,             0.76027,             0.36994,            0.040407,           0.0072684,            0.010518,           0.0085744,           0.0085744,           0.0085744
                  74,            0.035291,            0.014426,            0.014025,             0.81625,             0.74961,             0.80022,             0.40501,            0.039182,           0.0069866,           0.0078435,           0.0085546,           0.0085546,           0.0085546
                  75,            0.035719,            0.014352,            0.011955,              0.7826,             0.71899,             0.76462,             0.37439,            0.040734,           0.0072632,           0.0096562,           0.0085348,           0.0085348,           0.0085348
