               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077459,             0.02318,              0.0576,             0.35366,             0.24301,             0.19963,            0.074424,            0.060775,           0.0090088,            0.044732,             0.07019,           0.0033122,           0.0033122
                   1,            0.055418,            0.018056,            0.042038,             0.44676,             0.38009,             0.35938,             0.13526,            0.055732,           0.0081066,            0.034678,            0.040146,           0.0066017,           0.0066017
                   2,            0.053209,            0.016497,            0.031548,             0.47998,             0.24322,             0.23217,             0.08065,            0.056715,           0.0094051,            0.034389,            0.010058,           0.0098472,           0.0098472
                   3,            0.053702,            0.016531,             0.03138,             0.45646,             0.35383,             0.32531,             0.10864,            0.058431,           0.0094709,            0.034466,            0.009802,            0.009802,            0.009802
                   4,            0.054716,             0.01754,            0.035152,             0.35738,             0.27446,             0.23594,            0.084262,            0.056987,           0.0096402,            0.037286,            0.009802,            0.009802,            0.009802
                   5,            0.053201,            0.017938,            0.033445,             0.45968,             0.32808,             0.31588,             0.11925,            0.052411,            0.010166,            0.037948,            0.009736,            0.009736,            0.009736
                   6,            0.052769,            0.017896,            0.030014,             0.48071,             0.36477,             0.33327,             0.10454,             0.05666,           0.0096044,            0.031252,             0.00967,             0.00967,             0.00967
                   7,            0.049479,            0.017359,            0.030602,             0.53453,             0.37065,             0.41587,             0.16429,            0.053757,            0.010475,            0.029327,            0.009604,            0.009604,            0.009604
                   8,            0.048539,            0.017491,            0.027235,              0.5221,             0.37632,             0.40015,             0.15298,            0.054891,           0.0090485,            0.028604,            0.009538,            0.009538,            0.009538
                   9,            0.047984,            0.017413,            0.027949,             0.46081,             0.38596,             0.37801,             0.13861,            0.052516,           0.0093711,            0.025294,            0.009472,            0.009472,            0.009472
                  10,            0.047999,            0.017052,            0.026759,             0.53742,             0.47283,              0.4673,             0.18118,            0.048965,           0.0087504,            0.023783,            0.009406,            0.009406,            0.009406
                  11,            0.047826,             0.01685,            0.026118,              0.5619,             0.53569,              0.5319,             0.20734,             0.05059,           0.0089339,            0.022445,             0.00934,             0.00934,             0.00934
                  12,            0.047275,             0.01709,            0.025874,             0.58271,               0.525,             0.53835,             0.21121,            0.050361,           0.0083106,            0.020594,            0.009274,            0.009274,            0.009274
