               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086543,            0.024591,            0.064601,             0.28127,             0.22693,              0.1915,            0.087275,            0.060301,            0.011335,            0.053429,             0.07019,           0.0033122,           0.0033122
                   1,            0.058371,            0.019162,            0.047593,             0.45581,             0.45393,             0.38326,             0.18123,            0.052791,            0.008951,            0.039106,            0.040177,           0.0066324,           0.0066324
                   2,            0.055737,            0.017562,            0.035755,             0.42908,             0.40328,             0.35717,             0.15181,            0.053133,           0.0099975,            0.035701,             0.01015,           0.0099394,           0.0099394
                   3,             0.05489,            0.017929,            0.035867,             0.47246,             0.22843,             0.18293,            0.071048,            0.060408,            0.011686,            0.051824,           0.0099406,           0.0099406,           0.0099406
                   4,             0.05513,            0.018153,            0.035708,             0.35632,             0.23268,             0.20673,            0.071723,            0.068276,            0.011338,             0.04142,           0.0099406,           0.0099406,           0.0099406
                   5,            0.053489,            0.018876,             0.03599,             0.45478,             0.38797,             0.36038,             0.16899,            0.054195,            0.010683,            0.034308,           0.0099208,           0.0099208,           0.0099208
                   6,            0.052684,            0.018891,            0.033877,             0.46739,              0.4286,             0.40622,             0.15588,            0.057997,             0.01055,            0.033931,            0.009901,            0.009901,            0.009901
                   7,             0.05115,            0.017898,             0.03352,             0.47234,              0.3039,              0.2991,              0.1261,            0.064671,            0.011244,            0.047312,           0.0098812,           0.0098812,           0.0098812
                   8,            0.050611,            0.018193,            0.030927,              0.5108,             0.48184,             0.46202,             0.21545,            0.054886,            0.010292,            0.029003,           0.0098614,           0.0098614,           0.0098614
                   9,            0.050965,            0.018264,            0.031095,             0.49622,             0.47496,             0.46336,              0.1871,            0.056621,           0.0099637,            0.028214,           0.0098416,           0.0098416,           0.0098416
                  10,            0.049649,              0.0177,            0.030511,             0.55782,             0.49479,             0.50435,             0.18901,            0.054772,           0.0098911,            0.024764,           0.0098218,           0.0098218,           0.0098218
                  11,            0.050046,             0.01798,            0.028042,             0.58108,             0.51514,             0.52328,             0.26541,               0.053,             0.01034,            0.028315,            0.009802,            0.009802,            0.009802
                  12,            0.048818,            0.017897,             0.02864,             0.63659,             0.56141,             0.57518,             0.27732,            0.049738,           0.0098024,            0.025463,           0.0097822,           0.0097822,           0.0097822
                  13,            0.047325,            0.017404,            0.028416,              0.6714,             0.58348,             0.60667,             0.26535,            0.051722,            0.009513,            0.022226,           0.0097624,           0.0097624,           0.0097624
                  14,            0.047427,            0.017216,            0.026222,             0.63002,             0.55238,             0.59004,             0.27982,            0.051763,           0.0096473,            0.024209,           0.0097426,           0.0097426,           0.0097426
                  15,            0.046846,            0.017391,            0.027579,             0.66197,             0.58097,             0.61203,             0.31298,            0.051481,           0.0096556,            0.024441,           0.0097228,           0.0097228,           0.0097228
                  16,            0.045962,            0.017421,            0.026464,             0.67376,             0.51593,             0.57582,             0.25392,            0.054389,            0.010292,            0.025839,            0.009703,            0.009703,            0.009703
                  17,            0.046177,             0.01759,            0.028127,               0.687,             0.60157,             0.63678,             0.30162,            0.048454,           0.0092714,            0.021871,           0.0096832,           0.0096832,           0.0096832
                  18,            0.045614,            0.016725,            0.025073,             0.66821,             0.58668,             0.62107,             0.33552,            0.048783,           0.0095456,            0.022301,           0.0096634,           0.0096634,           0.0096634
                  19,            0.044853,            0.017073,            0.024191,             0.67583,              0.6061,             0.64795,             0.31535,            0.048462,           0.0098229,             0.02092,           0.0096436,           0.0096436,           0.0096436
                  20,            0.045016,            0.016831,            0.024156,             0.65371,             0.62198,             0.63243,             0.32287,            0.048744,           0.0094761,            0.020955,           0.0096238,           0.0096238,           0.0096238
                  21,            0.045577,            0.016922,             0.02378,             0.72737,             0.61354,             0.65717,             0.32138,             0.04928,           0.0097093,            0.019625,            0.009604,            0.009604,            0.009604
                  22,            0.045079,            0.017412,            0.025898,             0.73669,             0.62156,             0.67152,              0.3493,            0.050673,           0.0091606,             0.01941,           0.0095842,           0.0095842,           0.0095842
                  23,            0.044136,            0.016407,            0.024113,             0.67662,             0.57659,             0.63228,             0.30437,            0.049017,           0.0095531,            0.021163,           0.0095644,           0.0095644,           0.0095644
                  24,            0.044773,            0.016458,             0.02359,             0.64677,             0.55404,              0.5626,             0.27887,            0.050405,           0.0097137,            0.020507,           0.0095446,           0.0095446,           0.0095446
                  25,            0.043681,            0.016226,            0.023168,             0.73775,              0.6402,             0.67899,             0.35336,            0.048913,           0.0088938,            0.017898,           0.0095248,           0.0095248,           0.0095248
                  26,            0.045168,            0.016486,            0.022172,              0.7617,             0.65025,             0.71212,             0.37342,            0.046787,           0.0087917,            0.018136,            0.009505,            0.009505,            0.009505
                  27,            0.043727,            0.016181,            0.022565,             0.64038,             0.59593,             0.60856,             0.32533,            0.046969,           0.0098101,            0.019664,           0.0094852,           0.0094852,           0.0094852
                  28,            0.043161,            0.016721,            0.021204,             0.66108,             0.62162,             0.63974,             0.34431,            0.047643,           0.0087648,            0.016571,           0.0094654,           0.0094654,           0.0094654
                  29,            0.042842,            0.016245,            0.022515,             0.66093,             0.57662,             0.59733,              0.2726,            0.052416,           0.0094398,            0.023976,           0.0094456,           0.0094456,           0.0094456
                  30,             0.04394,            0.016586,             0.02287,             0.77342,             0.64974,             0.69882,             0.38666,            0.047762,           0.0090441,            0.016974,           0.0094258,           0.0094258,           0.0094258
                  31,             0.04223,            0.015788,            0.022831,             0.67166,             0.61502,             0.63122,             0.29192,             0.05112,           0.0089565,            0.019542,            0.009406,            0.009406,            0.009406
                  32,            0.042166,            0.015971,            0.020398,             0.74877,             0.62824,             0.69186,             0.37631,            0.047186,           0.0089675,            0.017208,           0.0093862,           0.0093862,           0.0093862
                  33,            0.042361,            0.016072,            0.019337,             0.72736,             0.65967,             0.68527,             0.34258,            0.048662,           0.0088521,            0.018216,           0.0093664,           0.0093664,           0.0093664
                  34,            0.042166,            0.016011,            0.021331,             0.71843,             0.65266,             0.69895,             0.38792,            0.045719,           0.0088425,            0.015641,           0.0093466,           0.0093466,           0.0093466
                  35,            0.041287,            0.015961,            0.020528,               0.738,             0.68078,             0.70269,             0.39237,            0.045615,           0.0086471,            0.015592,           0.0093268,           0.0093268,           0.0093268
                  36,            0.042013,            0.015397,            0.018706,              0.7464,             0.65322,             0.70589,             0.36358,            0.046939,           0.0094115,            0.015636,            0.009307,            0.009307,            0.009307
