               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095875,            0.023841,            0.062758,           0.0020164,             0.38568,           0.0032004,          0.00088855,            0.076564,            0.012102,              0.0577,            0.067209,          0.00033122,          0.00033122
                   1,            0.071954,            0.022736,            0.058975,              0.1086,            0.064371,            0.088585,            0.034279,            0.061584,            0.010962,            0.050702,            0.034204,          0.00066013,          0.00066013
                   2,            0.056544,            0.021009,            0.049172,             0.43017,             0.27821,              0.2521,             0.11823,            0.050245,           0.0093526,            0.041333,           0.0011956,           0.0009846,           0.0009846
                   3,            0.048364,            0.017929,            0.039565,             0.54809,             0.43272,             0.45582,             0.23413,             0.04388,           0.0081623,            0.034017,          0.00098002,          0.00098002,          0.00098002
                   4,            0.045529,            0.017228,            0.035639,             0.60642,             0.47871,             0.53624,             0.24971,             0.04338,           0.0076904,            0.029369,          0.00098002,          0.00098002,          0.00098002
                   5,              0.0434,            0.016857,            0.030307,             0.62369,             0.54503,             0.59409,             0.30239,            0.043247,           0.0071101,            0.026591,          0.00097336,          0.00097336,          0.00097336
                   6,            0.041915,            0.016551,              0.0261,             0.68826,             0.58246,             0.63695,             0.31064,            0.041613,           0.0069117,            0.024432,           0.0009667,           0.0009667,           0.0009667
                   7,            0.040442,            0.015479,            0.024783,             0.66279,             0.59813,             0.64376,             0.32787,            0.043072,           0.0068524,            0.022647,          0.00096004,          0.00096004,          0.00096004
                   8,            0.038591,            0.015615,              0.0216,             0.68847,             0.60193,              0.6816,             0.35619,            0.038388,           0.0067673,            0.021156,          0.00095338,          0.00095338,          0.00095338
                   9,            0.038631,            0.015204,            0.020884,             0.73778,             0.65006,             0.72855,             0.38937,            0.038188,           0.0066068,            0.019715,          0.00094672,          0.00094672,          0.00094672
                  10,            0.038117,            0.014846,            0.018885,             0.75662,             0.64917,             0.73694,             0.37656,            0.038158,           0.0065587,            0.018722,          0.00094006,          0.00094006,          0.00094006
                  11,            0.038776,            0.014669,            0.018581,             0.75435,             0.64334,             0.74705,             0.37648,            0.037467,           0.0066999,            0.017982,           0.0009334,           0.0009334,           0.0009334
                  12,            0.038536,            0.014825,             0.01801,             0.77918,             0.66303,              0.7586,             0.40583,            0.036497,           0.0065296,            0.016798,          0.00092674,          0.00092674,          0.00092674
                  13,            0.037458,            0.014546,            0.018202,             0.77742,             0.65155,             0.74654,             0.36943,            0.037667,           0.0066187,            0.015897,          0.00092008,          0.00092008,          0.00092008
                  14,            0.035537,            0.014535,            0.016224,             0.77465,             0.67557,              0.7513,             0.38113,            0.038484,           0.0064717,            0.016049,          0.00091342,          0.00091342,          0.00091342
                  15,            0.035842,            0.014508,            0.016436,             0.78717,             0.69969,             0.78936,             0.41593,            0.035839,           0.0064576,            0.014812,          0.00090676,          0.00090676,          0.00090676
                  16,            0.035661,             0.01428,            0.015616,             0.73707,             0.75292,             0.79099,             0.42841,            0.035117,           0.0063983,            0.014358,           0.0009001,           0.0009001,           0.0009001
                  17,            0.036256,            0.014432,            0.015237,             0.75875,             0.74019,             0.79673,             0.43783,            0.035459,           0.0063014,            0.014045,          0.00089344,          0.00089344,          0.00089344
                  18,            0.034299,            0.013834,            0.014549,             0.77477,             0.75872,              0.8078,             0.45182,            0.035225,           0.0062769,            0.013399,          0.00088678,          0.00088678,          0.00088678
                  19,            0.034333,            0.014154,            0.013485,              0.7757,             0.75358,             0.80556,             0.47208,            0.033283,           0.0063327,            0.013064,          0.00088012,          0.00088012,          0.00088012
                  20,            0.035069,            0.014029,             0.01429,             0.79551,             0.76387,             0.80633,             0.43622,            0.035573,           0.0063087,            0.012124,          0.00087346,          0.00087346,          0.00087346
                  21,            0.034274,             0.01367,            0.014116,             0.75723,             0.77311,             0.79675,             0.42543,            0.034904,           0.0063129,            0.012002,           0.0008668,           0.0008668,           0.0008668
                  22,            0.034109,            0.014327,            0.013113,             0.79764,             0.75876,             0.81017,             0.42684,            0.034873,           0.0063518,            0.011385,          0.00086014,          0.00086014,          0.00086014
                  23,            0.033579,            0.013706,            0.012972,             0.80102,             0.80269,             0.83147,             0.44191,            0.034075,           0.0062586,             0.01089,          0.00085348,          0.00085348,          0.00085348
                  24,             0.03372,            0.013497,            0.012557,             0.81733,             0.79064,              0.8271,             0.47648,            0.034884,           0.0062503,            0.010519,          0.00084682,          0.00084682,          0.00084682
                  25,            0.034284,            0.013545,            0.014154,             0.83383,             0.76918,             0.81274,             0.44933,            0.033846,           0.0062053,            0.010321,          0.00084016,          0.00084016,          0.00084016
                  26,            0.034146,            0.014037,            0.012858,             0.82908,              0.7983,             0.82595,             0.45091,            0.035726,           0.0061457,            0.010407,           0.0008335,           0.0008335,           0.0008335
                  27,             0.03357,            0.013658,            0.013225,             0.79916,             0.81164,             0.82907,             0.45465,            0.034178,           0.0060963,             0.01058,          0.00082684,          0.00082684,          0.00082684
                  28,            0.033938,            0.013903,            0.012445,             0.81822,             0.80135,             0.83446,             0.48467,            0.032568,           0.0061122,             0.00967,          0.00082018,          0.00082018,          0.00082018
                  29,            0.032762,            0.013218,            0.011023,             0.83832,             0.79374,             0.84439,             0.46356,            0.033134,           0.0060855,           0.0093251,          0.00081352,          0.00081352,          0.00081352
                  30,             0.03336,            0.013586,            0.012313,             0.81662,             0.79874,             0.83645,             0.47273,            0.035686,            0.006201,           0.0090238,          0.00080686,          0.00080686,          0.00080686
                  31,            0.032426,            0.013043,            0.011522,             0.81761,             0.81359,             0.84092,               0.485,             0.03314,           0.0061064,           0.0088866,           0.0008002,           0.0008002,           0.0008002
                  32,            0.031937,            0.013165,            0.010267,             0.82744,             0.80508,             0.84127,             0.48939,            0.033827,           0.0061001,           0.0090171,          0.00079354,          0.00079354,          0.00079354
