               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.039643,            0.015485,            0.018292,             0.71893,             0.64444,             0.70184,              0.3477,            0.043419,           0.0077779,            0.014808,            0.008812,            0.008812,            0.008812
                  38,            0.037363,            0.015046,            0.014672,             0.71529,             0.70998,             0.72186,             0.33855,            0.044372,           0.0078274,             0.01414,            0.008779,            0.008779,            0.008779
                  39,            0.040997,            0.015463,            0.015995,             0.73877,             0.68282,             0.72983,             0.35179,            0.042461,           0.0076693,            0.011754,            0.008746,            0.008746,            0.008746
                  40,            0.038561,            0.015407,             0.01514,             0.69004,             0.67359,              0.7103,              0.3176,            0.041853,           0.0077273,            0.011221,            0.008713,            0.008713,            0.008713
                  41,            0.038387,            0.015397,            0.016367,             0.74602,             0.72291,             0.76624,             0.37657,            0.041901,           0.0072263,            0.010454,             0.00868,             0.00868,             0.00868
                  42,              0.0381,            0.014984,            0.015873,             0.74195,             0.70648,             0.74842,             0.35878,            0.042598,           0.0076825,            0.012412,            0.008647,            0.008647,            0.008647
                  43,            0.037786,            0.014695,            0.013895,             0.75191,             0.73011,              0.7549,             0.37433,            0.042146,           0.0071022,            0.011013,            0.008614,            0.008614,            0.008614
                  44,            0.038164,            0.015044,            0.012936,             0.75583,             0.70076,             0.75976,             0.36336,            0.041128,           0.0071923,            0.012598,            0.008581,            0.008581,            0.008581
                  45,            0.037727,            0.015199,            0.014258,             0.70612,             0.69137,             0.70053,             0.33838,            0.041108,            0.007572,            0.011573,            0.008548,            0.008548,            0.008548
                  46,            0.035883,            0.014613,            0.015887,              0.7965,             0.71563,             0.77398,              0.4028,            0.039504,           0.0072638,            0.011139,            0.008515,            0.008515,            0.008515
                  47,            0.036975,            0.014665,            0.014689,              0.7836,             0.69415,             0.76153,             0.38465,            0.040831,            0.007297,            0.013434,            0.008482,            0.008482,            0.008482
                  48,            0.037934,            0.014942,            0.014884,              0.8036,             0.73181,             0.77863,             0.39817,            0.041252,           0.0070601,            0.012151,            0.008449,            0.008449,            0.008449
                  49,            0.036612,            0.014828,            0.014414,              0.7114,             0.69319,             0.73307,             0.37521,            0.041115,           0.0078472,            0.011247,            0.008416,            0.008416,            0.008416
                  50,            0.037108,            0.014809,            0.015233,             0.78459,             0.72233,             0.77047,             0.38823,            0.043583,            0.007411,            0.010245,            0.008383,            0.008383,            0.008383
                  51,            0.038473,            0.015193,            0.014699,             0.75955,             0.71759,             0.76435,             0.39062,            0.040235,           0.0072287,            0.012668,             0.00835,             0.00835,             0.00835
                  52,            0.037649,            0.014935,            0.013412,             0.74907,              0.7166,             0.75151,             0.37744,            0.040127,            0.007566,            0.012359,            0.008317,            0.008317,            0.008317
                  53,            0.036904,            0.014175,            0.013154,             0.76689,             0.73543,             0.76493,             0.36943,             0.04037,           0.0073199,            0.012218,            0.008284,            0.008284,            0.008284
                  54,            0.036689,            0.014447,             0.01338,             0.75956,             0.71973,             0.76034,             0.39239,             0.04111,           0.0073639,            0.011924,            0.008251,            0.008251,            0.008251
                  55,            0.036658,            0.014301,            0.014528,             0.76793,             0.71947,             0.76678,             0.37157,            0.040388,           0.0073452,            0.012298,            0.008218,            0.008218,            0.008218
                  56,            0.035495,            0.014735,            0.013539,             0.75078,             0.70316,             0.73784,             0.37405,            0.040373,            0.007415,            0.014117,            0.008185,            0.008185,            0.008185
                  57,             0.03699,            0.014308,            0.014824,             0.79226,              0.7098,             0.75451,             0.39191,            0.039292,           0.0073912,            0.011247,            0.008152,            0.008152,            0.008152
                  58,            0.037082,            0.014726,            0.013976,             0.74666,             0.72041,             0.75462,             0.38104,            0.039792,           0.0072781,           0.0091937,            0.008119,            0.008119,            0.008119
