               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086543,            0.024591,            0.064601,             0.28127,             0.22693,              0.1915,            0.087275,            0.060301,            0.011335,            0.053429,             0.07019,           0.0033122,           0.0033122
                   1,            0.058325,            0.019212,            0.047676,             0.45189,             0.36691,             0.32912,             0.15013,            0.053838,           0.0097088,            0.042155,            0.040146,           0.0066017,           0.0066017
                   2,            0.055639,            0.017527,            0.035685,             0.45447,             0.42487,             0.37967,             0.17773,            0.056686,           0.0094921,            0.034543,            0.010058,           0.0098472,           0.0098472
                   3,            0.055781,            0.017589,            0.035165,             0.53673,             0.34019,             0.34772,             0.12453,            0.060227,            0.010263,            0.039504,            0.009802,            0.009802,            0.009802
                   4,            0.053774,            0.017913,            0.035539,             0.38928,             0.28521,             0.27808,            0.096346,            0.059332,            0.012505,            0.035233,            0.009802,            0.009802,            0.009802
                   5,            0.052855,             0.01898,            0.035874,             0.35137,             0.29906,             0.22259,            0.099381,            0.058774,            0.010955,            0.045876,            0.009736,            0.009736,            0.009736
                   6,            0.052285,            0.018508,            0.032482,             0.53272,             0.52947,             0.51328,             0.23894,            0.055244,           0.0099308,            0.030672,             0.00967,             0.00967,             0.00967
                   7,            0.050751,            0.017822,              0.0345,             0.51628,             0.43054,             0.45566,             0.18979,            0.053492,            0.010888,            0.031668,            0.009604,            0.009604,            0.009604
                   8,            0.050271,            0.018161,            0.030141,             0.63367,             0.54307,             0.57819,             0.26239,            0.054197,           0.0097841,            0.024839,            0.009538,            0.009538,            0.009538
                   9,            0.050735,            0.018179,            0.030561,             0.58125,             0.47604,             0.48588,             0.22836,            0.052798,           0.0098736,            0.029823,            0.009472,            0.009472,            0.009472
                  10,            0.049466,            0.017751,            0.029933,             0.50615,             0.38822,             0.37678,             0.14424,            0.062002,            0.011394,            0.037152,            0.009406,            0.009406,            0.009406
                  11,            0.049717,            0.017774,             0.02714,             0.65464,             0.52062,             0.55856,             0.27201,            0.051234,           0.0094631,            0.027388,             0.00934,             0.00934,             0.00934
                  12,            0.047799,            0.017741,            0.028528,             0.64073,             0.54629,             0.57025,              0.2737,            0.051477,           0.0097747,            0.026354,            0.009274,            0.009274,            0.009274
                  13,            0.047137,            0.017276,            0.027352,             0.45192,             0.37998,             0.37499,             0.17361,            0.055564,            0.011795,            0.046163,            0.009208,            0.009208,            0.009208
                  14,            0.047192,            0.017265,            0.025992,             0.62289,             0.59135,             0.58249,             0.29612,            0.048338,            0.009758,             0.02537,            0.009142,            0.009142,            0.009142
                  15,            0.046734,             0.01734,            0.025921,             0.65528,             0.61571,             0.64382,             0.33213,             0.04894,           0.0095377,            0.021951,            0.009076,            0.009076,            0.009076
                  16,            0.045197,            0.016933,            0.024838,             0.63865,             0.53881,             0.55936,             0.25295,            0.050412,            0.009822,            0.024086,             0.00901,             0.00901,             0.00901
                  17,            0.045484,             0.01725,            0.026582,             0.63835,             0.55439,             0.57838,             0.28554,            0.049222,           0.0099313,            0.025204,            0.008944,            0.008944,            0.008944
                  18,            0.044158,             0.01643,            0.023826,             0.68858,             0.61602,             0.63313,             0.32458,            0.049994,           0.0091804,            0.022879,            0.008878,            0.008878,            0.008878
                  19,            0.043586,            0.016948,            0.023732,             0.64362,             0.55713,             0.59695,             0.29354,            0.049724,            0.010313,            0.024644,            0.008812,            0.008812,            0.008812
                  20,            0.043815,            0.016796,            0.024932,             0.62117,             0.59545,             0.60698,             0.30502,             0.04899,           0.0095313,            0.021076,            0.008746,            0.008746,            0.008746
                  21,            0.044646,             0.01669,            0.023465,             0.66381,             0.62192,             0.64036,             0.31495,            0.051098,           0.0096014,            0.021914,             0.00868,             0.00868,             0.00868
                  22,            0.044831,            0.016967,            0.023762,             0.70187,             0.64114,             0.67304,             0.34147,            0.049306,           0.0090268,             0.01917,            0.008614,            0.008614,            0.008614
                  23,            0.042906,            0.016117,            0.023636,             0.70473,             0.65472,             0.68107,             0.34153,            0.046095,            0.009108,            0.018728,            0.008548,            0.008548,            0.008548
                  24,            0.043194,            0.016022,            0.022009,             0.69786,             0.65052,             0.67113,             0.34788,            0.048825,            0.008984,            0.018075,            0.008482,            0.008482,            0.008482
                  25,            0.042719,            0.016029,            0.022421,             0.72008,             0.64369,             0.68545,             0.36485,            0.045523,           0.0090267,            0.015831,            0.008416,            0.008416,            0.008416
                  26,            0.043927,              0.0162,            0.021836,             0.73304,             0.66051,             0.70346,             0.37381,            0.045859,           0.0086972,            0.015795,             0.00835,             0.00835,             0.00835
                  27,            0.042653,            0.015948,             0.02209,              0.6988,             0.64403,             0.67773,              0.3714,            0.047026,           0.0096473,            0.018683,            0.008284,            0.008284,            0.008284
                  28,            0.042585,            0.016794,            0.021036,             0.66005,             0.64583,             0.65938,              0.3472,            0.045182,           0.0090927,            0.016389,            0.008218,            0.008218,            0.008218
                  29,            0.042787,            0.016015,            0.022327,              0.7388,             0.64559,             0.69156,             0.34364,            0.046976,           0.0087992,            0.020295,            0.008152,            0.008152,            0.008152
                  30,            0.042764,            0.016005,            0.020989,             0.69398,             0.66896,             0.68249,             0.36311,            0.045669,           0.0088895,            0.015617,            0.008086,            0.008086,            0.008086
                  31,            0.041138,            0.015578,            0.022689,             0.71573,              0.6593,             0.69223,             0.36662,            0.047712,           0.0089579,            0.017559,             0.00802,             0.00802,             0.00802
                  32,            0.041288,             0.01575,             0.01933,             0.73652,             0.66935,             0.71894,              0.3863,            0.046563,           0.0088603,            0.017692,            0.007954,            0.007954,            0.007954
                  33,            0.041582,            0.015874,            0.018309,             0.71286,              0.6804,             0.70219,             0.36752,            0.044215,           0.0088973,            0.016872,            0.007888,            0.007888,            0.007888
                  34,            0.040695,            0.015696,            0.020498,             0.72877,             0.68592,             0.71725,             0.37201,            0.045193,           0.0087115,            0.017215,            0.007822,            0.007822,            0.007822
                  35,            0.039865,            0.015604,            0.019152,             0.73587,             0.67083,             0.71281,             0.38005,            0.044638,           0.0087215,            0.014896,            0.007756,            0.007756,            0.007756
                  36,            0.040898,            0.015158,            0.018176,             0.72432,             0.67706,             0.69865,             0.39677,            0.045757,           0.0089737,            0.016524,             0.00769,             0.00769,             0.00769
                  37,            0.039084,            0.015285,            0.017953,             0.74493,             0.67293,             0.72287,             0.39938,            0.045773,           0.0085271,            0.015237,            0.007624,            0.007624,            0.007624
                  38,            0.040364,            0.014818,            0.018118,             0.77998,             0.63864,             0.69612,             0.35181,            0.047505,           0.0088865,            0.015209,            0.007558,            0.007558,            0.007558
                  39,            0.039934,             0.01559,            0.018583,             0.71729,             0.68135,             0.70327,              0.3629,            0.045283,           0.0089127,            0.015561,            0.007492,            0.007492,            0.007492
                  40,            0.039791,            0.015673,            0.018632,             0.70178,             0.68035,             0.70735,             0.35318,            0.044792,           0.0087816,            0.016448,            0.007426,            0.007426,            0.007426
                  41,            0.039178,            0.015331,            0.018236,             0.73968,              0.6782,             0.70902,             0.37949,            0.047749,           0.0087441,            0.016792,             0.00736,             0.00736,             0.00736
