               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081321,            0.023505,            0.061889,             0.48305,             0.18023,             0.19777,            0.092049,            0.034914,           0.0091053,            0.034459,            0.070254,           0.0033051,           0.0033051
                   1,             0.05408,            0.015011,            0.055592,             0.39051,             0.55424,             0.47827,              0.2343,            0.032936,           0.0059598,            0.022767,            0.040232,           0.0066165,           0.0066165
                   2,            0.050772,            0.012328,            0.046521,             0.52193,             0.58649,             0.64039,             0.35409,            0.027446,            0.005987,            0.016733,            0.010188,           0.0099059,           0.0099059
                   3,            0.046136,            0.011307,            0.042419,             0.52197,             0.60679,             0.62148,             0.26569,            0.032574,             0.00566,            0.014084,            0.009901,            0.009901,            0.009901
                   4,            0.045329,             0.01114,            0.041163,             0.54525,             0.61967,             0.63341,             0.29766,            0.030972,           0.0065508,            0.014239,            0.009901,            0.009901,            0.009901
                   5,            0.044694,            0.010885,            0.039493,              0.7124,             0.37888,             0.48085,             0.21099,            0.038536,           0.0069733,            0.021815,            0.009868,            0.009868,            0.009868
                   6,            0.043069,            0.010788,            0.036286,              0.4374,             0.37607,             0.40615,             0.15505,            0.035669,           0.0092671,            0.021195,            0.009835,            0.009835,            0.009835
                   7,            0.042169,             0.01116,            0.036745,             0.51397,              0.3571,             0.34249,              0.1031,            0.045204,           0.0072439,            0.023615,            0.009802,            0.009802,            0.009802
                   8,            0.040696,            0.010832,            0.033592,             0.63295,             0.64996,             0.70165,             0.36906,             0.03007,           0.0062333,            0.011035,            0.009769,            0.009769,            0.009769
                   9,             0.03999,             0.01013,            0.035181,             0.73875,             0.76279,              0.8102,             0.44563,            0.028097,            0.005937,           0.0096424,            0.009736,            0.009736,            0.009736
                  10,            0.039442,             0.01029,            0.032654,             0.78959,             0.70092,             0.79478,             0.49221,            0.022898,           0.0065067,           0.0088843,            0.009703,            0.009703,            0.009703
