               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081321,            0.023505,            0.061889,             0.48305,             0.18023,             0.19777,            0.092049,            0.034914,           0.0091053,            0.034459,            0.070254,           0.0033051,           0.0033051
                   1,            0.054447,            0.014978,            0.055433,             0.34333,             0.49758,             0.40312,             0.18668,            0.033856,           0.0059697,            0.023773,             0.04021,           0.0065946,           0.0065946
                   2,             0.04886,            0.012545,            0.046197,              0.4786,             0.56839,             0.54696,             0.24737,            0.031582,           0.0056838,            0.019162,            0.010123,           0.0098401,           0.0098401
                   3,            0.046514,            0.011172,            0.041871,             0.50378,             0.64365,             0.61727,              0.2638,            0.031904,           0.0061716,            0.010948,            0.009802,            0.009802,            0.009802
                   4,            0.045978,            0.010875,            0.039898,             0.58419,             0.72224,             0.71861,             0.37401,            0.025797,           0.0059983,            0.010186,            0.009802,            0.009802,            0.009802
                   5,            0.044014,            0.010891,            0.038786,             0.54429,             0.53526,             0.49815,              0.2406,            0.030631,           0.0070703,            0.020373,            0.009736,            0.009736,            0.009736
                   6,            0.042702,            0.010791,            0.036592,             0.59024,             0.60354,              0.6104,              0.2471,            0.034352,            0.006611,           0.0089229,             0.00967,             0.00967,             0.00967
                   7,            0.041188,            0.010967,            0.036722,             0.68853,             0.70425,             0.75834,             0.41302,            0.026655,           0.0054136,            0.012332,            0.009604,            0.009604,            0.009604
                   8,            0.039253,            0.010506,             0.03261,             0.70167,             0.74812,             0.78783,             0.45197,            0.028036,           0.0055756,           0.0083512,            0.009538,            0.009538,            0.009538
                   9,            0.039834,            0.010129,            0.033006,             0.75646,             0.56328,             0.66787,             0.40684,            0.024511,             0.00636,             0.01122,            0.009472,            0.009472,            0.009472
                  10,            0.038319,            0.010332,            0.032816,             0.77175,             0.80916,             0.84813,             0.51608,            0.021073,           0.0056201,           0.0079573,            0.009406,            0.009406,            0.009406
                  11,            0.036457,           0.0099595,            0.029638,             0.78614,             0.82304,             0.84457,             0.45829,            0.028812,           0.0046775,           0.0067224,             0.00934,             0.00934,             0.00934
                  12,            0.037063,           0.0099467,            0.031753,             0.69807,             0.63799,             0.73055,             0.43745,            0.026051,           0.0055452,            0.013298,            0.009274,            0.009274,            0.009274
                  13,            0.035853,            0.009586,             0.03109,             0.58334,             0.51246,             0.52161,             0.16905,            0.037385,           0.0066737,            0.018936,            0.009208,            0.009208,            0.009208
                  14,            0.036525,            0.010043,            0.029417,             0.79978,             0.73328,             0.80872,             0.49483,            0.021449,            0.005606,           0.0084939,            0.009142,            0.009142,            0.009142
                  15,            0.034466,           0.0095412,            0.029342,             0.83348,             0.85102,             0.88639,             0.56308,            0.022989,           0.0050279,           0.0062589,            0.009076,            0.009076,            0.009076
                  16,            0.034173,            0.009545,            0.027557,             0.80043,             0.77916,             0.82564,             0.42654,            0.025255,           0.0049998,            0.007356,             0.00901,             0.00901,             0.00901
                  17,            0.035863,           0.0093798,            0.028027,              0.8018,             0.80507,              0.8355,             0.56571,            0.024368,           0.0052384,           0.0094387,            0.008944,            0.008944,            0.008944
                  18,            0.034503,           0.0093187,            0.028643,             0.63891,             0.52797,             0.57306,             0.20441,            0.032301,           0.0066668,             0.01679,            0.008878,            0.008878,            0.008878
                  19,            0.034009,           0.0096248,            0.026988,              0.8169,             0.81012,             0.84496,             0.52715,             0.02354,           0.0048538,            0.009905,            0.008812,            0.008812,            0.008812
                  20,            0.031575,           0.0093307,            0.027239,             0.83584,             0.73459,             0.81807,             0.47324,            0.023415,           0.0056631,           0.0074619,            0.008746,            0.008746,            0.008746
                  21,            0.033722,           0.0095156,            0.025665,             0.87611,             0.85815,              0.9066,             0.61634,            0.020825,           0.0046917,           0.0046219,             0.00868,             0.00868,             0.00868
                  22,            0.032443,           0.0092835,            0.026968,             0.85195,             0.87251,             0.89587,             0.62044,            0.019861,            0.004649,            0.004432,            0.008614,            0.008614,            0.008614
                  23,            0.032169,           0.0092858,            0.025844,             0.87685,             0.85567,             0.90051,             0.59642,              0.0218,           0.0044632,           0.0039245,            0.008548,            0.008548,            0.008548
                  24,            0.031521,           0.0089698,            0.026086,             0.87836,             0.90024,             0.91854,             0.65071,            0.017695,           0.0046746,           0.0035166,            0.008482,            0.008482,            0.008482
                  25,            0.032215,           0.0091921,            0.026209,             0.86838,             0.89445,             0.90068,             0.62285,            0.018393,           0.0044696,           0.0083607,            0.008416,            0.008416,            0.008416
                  26,            0.031971,            0.009287,            0.025045,              0.8724,             0.88213,             0.90738,             0.59729,            0.022166,           0.0046053,           0.0064739,             0.00835,             0.00835,             0.00835
                  27,            0.031486,            0.009235,            0.024147,              0.7273,             0.77169,             0.83889,             0.53305,            0.019677,           0.0051766,            0.010779,            0.008284,            0.008284,            0.008284
                  28,            0.030616,           0.0087301,            0.024721,             0.89531,             0.88482,              0.9021,             0.65192,            0.020049,           0.0044745,           0.0062851,            0.008218,            0.008218,            0.008218
                  29,            0.031315,           0.0087881,            0.022471,             0.89164,             0.83861,             0.89758,             0.62654,            0.020358,           0.0045375,           0.0056311,            0.008152,            0.008152,            0.008152
                  30,            0.031146,           0.0090807,            0.023898,             0.83951,             0.83633,             0.85788,             0.56852,            0.021392,           0.0045942,           0.0079315,            0.008086,            0.008086,            0.008086
                  31,            0.028921,           0.0088635,            0.023238,             0.91563,             0.87646,             0.92007,             0.67379,            0.020609,           0.0044899,           0.0034766,             0.00802,             0.00802,             0.00802
                  32,            0.030132,            0.008825,            0.023145,             0.81461,             0.86908,             0.86667,              0.6214,            0.022445,           0.0043851,           0.0071472,            0.007954,            0.007954,            0.007954
                  33,            0.030205,           0.0087522,            0.021778,             0.87691,             0.85307,             0.90672,             0.66101,            0.018401,           0.0042033,           0.0066649,            0.007888,            0.007888,            0.007888
                  34,            0.029481,           0.0086885,            0.023049,              0.9123,             0.86798,             0.91721,              0.6524,            0.019892,           0.0042296,           0.0035862,            0.007822,            0.007822,            0.007822
                  35,            0.028896,           0.0087938,             0.02443,             0.88593,             0.84977,             0.91087,             0.68547,            0.018482,           0.0045993,           0.0060415,            0.007756,            0.007756,            0.007756
                  36,            0.029372,           0.0087589,            0.021772,             0.88472,             0.82158,             0.88329,             0.59954,            0.020603,           0.0046787,           0.0051917,             0.00769,             0.00769,             0.00769
                  37,            0.030319,           0.0091541,            0.024431,             0.86075,             0.82316,              0.8954,             0.64954,            0.017766,           0.0046245,           0.0095535,            0.007624,            0.007624,            0.007624
                  38,             0.02854,           0.0084975,             0.02124,             0.88727,             0.88469,             0.93293,             0.67642,            0.016418,           0.0044096,           0.0071728,            0.007558,            0.007558,            0.007558
                  39,            0.029372,           0.0085358,            0.021032,             0.86557,             0.88868,             0.91403,             0.66692,            0.017539,            0.004173,           0.0081792,            0.007492,            0.007492,            0.007492
                  40,            0.028027,           0.0082071,            0.021386,             0.89441,             0.87291,             0.91407,             0.60395,            0.020371,           0.0041386,           0.0067774,            0.007426,            0.007426,            0.007426
                  41,            0.027802,           0.0083267,            0.020667,              0.9018,             0.91245,             0.94229,             0.70885,             0.01918,           0.0042359,           0.0049531,             0.00736,             0.00736,             0.00736
                  42,            0.027887,           0.0083948,            0.022667,             0.87965,             0.88383,             0.90303,             0.63002,            0.021238,            0.004184,           0.0065556,            0.007294,            0.007294,            0.007294
                  43,            0.028063,           0.0083633,            0.020732,              0.9336,             0.91916,             0.95945,             0.70452,             0.01703,           0.0041545,           0.0029299,            0.007228,            0.007228,            0.007228
                  44,             0.02803,           0.0082612,            0.020586,             0.92573,             0.91313,             0.93559,             0.68048,            0.019154,           0.0040181,           0.0044537,            0.007162,            0.007162,            0.007162
                  45,            0.028894,           0.0084433,            0.021473,             0.88461,             0.89244,             0.91979,             0.63951,            0.018448,           0.0042007,           0.0050311,            0.007096,            0.007096,            0.007096
                  46,            0.028321,           0.0084411,            0.022431,             0.91667,             0.90369,             0.93458,             0.67031,            0.019134,           0.0040925,           0.0067855,             0.00703,             0.00703,             0.00703
                  47,            0.026957,           0.0084006,            0.022081,               0.926,             0.88369,              0.9384,             0.68024,            0.017711,           0.0043752,           0.0041002,            0.006964,            0.006964,            0.006964
                  48,            0.026683,           0.0082963,            0.020882,             0.90314,             0.91322,             0.92842,             0.69003,            0.018554,           0.0040548,           0.0039806,            0.006898,            0.006898,            0.006898
                  49,              0.0258,           0.0081531,            0.020427,             0.92483,             0.89197,             0.94562,             0.71251,             0.01712,           0.0040256,           0.0030437,            0.006832,            0.006832,            0.006832
                  50,            0.027619,           0.0079686,            0.020922,             0.95707,             0.88833,             0.94928,             0.71779,            0.016726,           0.0039232,           0.0040585,            0.006766,            0.006766,            0.006766
                  51,             0.02668,           0.0078436,            0.020098,             0.92581,               0.928,             0.94979,             0.70086,            0.016875,           0.0039534,           0.0033871,              0.0067,              0.0067,              0.0067
                  52,            0.026893,           0.0082216,            0.018623,              0.8458,              0.7657,             0.84582,             0.58174,            0.019779,           0.0046504,           0.0063054,            0.006634,            0.006634,            0.006634
                  53,            0.025361,           0.0082184,            0.019983,             0.90413,             0.90763,             0.91729,             0.68283,            0.018065,           0.0039216,           0.0037652,            0.006568,            0.006568,            0.006568
                  54,             0.02622,           0.0083025,            0.018295,             0.93253,             0.93234,             0.94292,              0.7041,            0.018248,           0.0039542,           0.0042506,            0.006502,            0.006502,            0.006502
                  55,            0.026289,           0.0082483,            0.019453,             0.90503,             0.88995,             0.92342,             0.69186,             0.01769,           0.0038615,           0.0076244,            0.006436,            0.006436,            0.006436
                  56,            0.026646,           0.0080034,            0.019089,             0.92405,             0.91284,             0.94434,             0.71614,            0.017349,           0.0039746,           0.0026399,             0.00637,             0.00637,             0.00637
                  57,            0.026957,           0.0080591,            0.019699,              0.8961,             0.88629,             0.94345,             0.67937,             0.01741,            0.004174,           0.0035809,            0.006304,            0.006304,            0.006304
